City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
406,tierralta,8.1736,-76.0592,25.78,84,100,2.91,CO,1712116712
407,ballito,-29.539,31.2144,22.08,78,75,3.09,ZA,1712116713
408,vila velha,-20.3297,-40.2925,25.97,92,0,0.51,BR,1712116571
409,fortuna,40.5982,-124.1573,11.31,96,100,2.57,US,1712116715
410,chibougamau,49.9168,-74.3659,-3.21,68,0,2.57,CA,1712116716
411,arar,30.9753,41.0381,17.01,25,0,2.57,SA,1712116717
412,uliastay,47.7417,96.8444,4.94,34,88,1.93,MN,1712116718
413,karratha,-20.7377,116.8463,36.3,26,25,11.34,AU,1712116635
414,ha tinh,18.3333,105.9,37.8,33,4,2.85,VN,1712116514
415,san patricio,28.017,-97.5169,22.13,41,0,5.88,US,1712116723
416,santa cecilia,-26.9608,-50.4269,14.36,93,3,0.85,BR,1712116724
417,saint-joseph,-21.3667,55.6167,25.21,80,98,6.79,RE,1712116725
418,sensuntepeque,13.8667,-88.6333,21.24,78,0,0.5,SV,1712116726
419,presidencia de la plaza,-27.0015,-59.8424,23.73,82,4,2.34,AR,1712116728
420,upata,8.0086,-62.3989,23.64,88,93,2.42,VE,1712116729
421,yandev,7.3667,9.05,26.59,78,98,4.93,NG,1712116730
422,callao,-12.0667,-77.15,24.84,73,0,3.6,PE,1712116449
423,mangrol,21.1167,70.1167,27.32,57,39,4.19,IN,1712116732
424,mokolo,10.7398,13.8019,26.78,16,12,2.32,CM,1712116733
425,puerto armuelles,8.2833,-82.8667,28.94,54,11,0.45,PA,1712116476
426,montepuez,-13.1256,38.9997,20.04,98,96,1.51,MZ,1712116735
427,akrehamn,59.2667,5.1833,5.79,93,100,3.6,NO,1712116736
428,lerwick,60.1545,-1.1494,4.0,58,100,12.06,GB,1712116737
429,richards bay,-28.783,32.0377,22.14,92,70,5.4,ZA,1712116739
430,port macquarie,-31.4333,152.9167,26.05,54,55,4.72,AU,1712116741
431,swakopmund,-22.6833,14.5333,15.55,89,1,1.34,NA,1712116742
